Benchmark,latency-Q1,memory,ObIds,Completeness,Current Throughput
1,404.1526717557252,42.677127957344055,131,0.2,37.707692307692305
2,639.4545454545455,54.48445049921671,252,0.2,38.0
3,409.51666666666665,65.68492698669434,372,0.2,38.0
4,89.75409836065573,77.39230489730835,494,0.2,38.0
5,124.375,88.97162373860677,614,0.19935066,38.0
6,930.25,100.16688410441081,734,0.19945653,38.0
7,856.1147540983607,111.4147179921468,856,0.1995338,37.377049180327866
8,741.2049180327868,122.99356142679851,978,0.19959183,38.0
9,640.0,134.5852197011312,1100,0.2,38.0
10,534.0166666666667,146.42835489908853,1220,0.19967267,38.0
Final Results,478.9761904761905,154.2618522644043,1262,0.2,38.0

AVERAGES,531,99,,1.0
