Benchmark,latency-Q1,memory,ObIds,Completeness,Current Throughput
1,606.276923076923,41.93201410770416,260,0.19847329,76.0
2,485.9590163934426,55.83789682388306,504,0.2,76.0
3,379.01673640167365,67.7265043258667,743,0.19973119,75.36666666666666
4,509.75308641975306,79.25902795791626,986,0.2,76.0
5,405.49159663865544,91.28854115804036,1224,0.19967374,75.36666666666666
6,625.25,102.8567894299825,1468,0.2,76.0
7,372.34583333333336,114.85659567515056,1708,0.19976608,76.0
8,547.3347107438017,126.31459387143452,1950,0.19979508,76.0
9,673.6458333333334,134.5524501800537,1998,0.2,14.566666666666666
10,NaN,134.87799898783365,1998,0.2,0.0
Final Results,NaN,134.7963954925537,1998,0.2,0.0

AVERAGES,511,98,,1.0
