Benchmark,latency-Q1,memory,ObIds,Completeness,Current Throughput
1,637.8576923076923,33.06116247177124,260,0.2,76.0
2,510.29831932773106,32.84977340698242,498,0.1992,75.36666666666666
3,506.82916666666665,33.201843897501625,738,0.19945946,76.0
4,483.8677685950413,33.55207316080729,980,0.2,75.36666666666666
5,562.4495798319327,33.9528439839681,1218,0.19967213,76.0
6,509.78512396694214,34.30915768941244,1460,0.2,76.0
7,508.4453781512605,34.70069185892741,1698,0.1997647,75.36666666666666
8,493.2107438016529,35.03688430786133,1940,0.2,75.37704918032787
9,519.551724137931,35.090806325276695,1998,0.2,18.366666666666667
10,NaN,35.13499387105306,1998,0.2,0.0
Final Results,NaN,35.049111938476564,1998,0.2,0.0

AVERAGES,525,34,,1.0
