Benchmark,latency-Q1,memory,ObIds,Completeness,Current Throughput
1,238.85496183206106,32.664977073669434,131,0.19848485,38.0
2,882.5702479338843,32.5000197092692,252,0.2,38.0
3,341.0416666666667,32.616116205851235,372,0.2,38.0
4,643.7916666666666,32.80749257405599,492,0.2,37.36666666666667
5,250.68333333333334,32.99971580505371,612,0.2,38.0
6,614.0083333333333,33.155935287475586,732,0.2,38.0
7,480.69166666666666,33.313591639200844,852,0.2,38.0
8,380.25,33.51494598388672,972,0.2,37.36666666666667
9,589.5166666666667,33.76630719502767,1092,0.2,38.0
10,283.35593220338984,33.89594968159994,1210,0.19966997,38.0
Final Results,864.6190476190476,33.98260307312012,1252,0.2,38.0

AVERAGES,506,33,,1.0
