Benchmark,latency-Q1,memory,ObIds,Completeness,Current Throughput
1,896.84375,36.92830753326416,256,0.19692308,76.0
2,817.0123966942149,32.88297589619955,498,0.1992,75.36666666666666
3,820.4875,33.42408879597982,738,0.19945946,75.36666666666666
4,846.5672268907563,33.79585075378418,976,0.19918367,76.0
5,860.7603305785124,33.9942684173584,1218,0.19967213,75.37704918032787
6,817.603305785124,34.416619618733726,1460,0.2,75.36666666666666
7,818.6864406779661,35.06769879659017,1696,0.19952941,76.0
8,849.8719008264463,35.26052983601888,1938,0.19979382,76.0
9,806.3166666666667,35.41089185078939,1998,0.2,19.633333333333333
10,NaN,35.26898956298828,1998,0.2,0.0
Final Results,NaN,35.18912963867187,1998,0.2,0.0

AVERAGES,837,34,,1.0
