Benchmark,latency-Q1,memory,ObIds,Completeness,Current Throughput
1,935.0692307692308,41.92097979784012,260,0.19847329,76.0
2,683.7016806722689,56.04551029205322,498,0.19761905,76.0
3,818.4758064516129,67.81477737426758,746,0.2,75.37704918032787
4,806.7563025210084,79.57779153188069,984,0.19959432,75.36666666666666
5,776.6344537815127,91.54646285374959,1222,0.19934747,75.37704918032787
6,802.7967479674796,103.27537266413371,1468,0.2,75.37704918032787
7,781.5336134453781,114.95107920964558,1706,0.19953217,75.36666666666666
8,667.702479338843,126.59551978111267,1948,0.19959016,76.0
9,1045.92,134.94695552190146,1998,0.2,14.950819672131148
10,NaN,135.16710789998373,1998,0.2,0.0
Final Results,NaN,135.16256713867188,1998,0.2,0.0

AVERAGES,813,98,,1.0
