Benchmark,latency-Q1,memory,ObIds,Completeness,Current Throughput
1,656.9846153846154,32.5715389251709,130,0.1969697,38.0
2,1167.7916666666667,32.57461484273275,250,0.1984127,38.0
3,586.3688524590164,32.970014572143555,372,0.2,38.0
4,1027.3,32.887084325154625,492,0.2,38.0
5,643.3644067796611,33.22697003682455,610,0.19934641,37.36666666666667
6,912.139344262295,33.36258188883463,732,0.2,38.0
7,762.8898305084746,33.60569636027018,850,0.19953051,38.0
8,707.6311475409836,33.57865778605143,972,0.2,38.0
9,931.9333333333333,33.84243075052897,1092,0.2,37.36666666666667
10,655.0677966101695,34.51558367411295,1210,0.19966997,38.0
Final Results,1108.3,34.1729679107666,1250,0.1996805,38.0

AVERAGES,832,33,,0.9984025
