Benchmark,latency-Q1,memory,ObIds,Completeness,Current Throughput
1,968.8615384615384,42.91513121128082,130,0.2,38.0
2,510.73333333333335,55.07085188229879,250,0.1984127,38.0
3,376.9344262295082,66.56368192036946,372,0.2,38.0
4,381.0163934426229,78.25661913553874,494,0.2,38.0
5,690.9491525423729,89.7112382253011,612,0.19870129,38.0
6,1241.0409836065573,101.10336430867513,734,0.19945653,38.0
7,1145.6475409836066,112.77307001749675,856,0.1995338,38.0
8,1062.1166666666666,124.39715067545573,976,0.19918367,38.0
9,980.4758064516129,135.91851679484049,1100,0.2,38.0
10,914.7666666666667,147.57851854960123,1220,0.19967267,38.0
Final Results,865.925,155.43092155456543,1260,0.19968304,38.0

AVERAGES,830,100,,0.9984152
