Benchmark,latency-Q5,memory,ObIds,Completeness,Current Throughput
1,774.6666666666666,34.73813056945801,3,0.009375,19.0
2,NaN,33.72035344441732,3,0.0048387097,19.0
3,NaN,34.50440788269043,3,0.0032608695,19.0
4,NaN,35.41222254435221,3,0.0024590164,19.0
5,NaN,36.2996629079183,3,0.0019736842,19.0
6,NaN,37.13948440551758,3,0.0016483517,19.0
7,NaN,37.881707509358726,3,0.0014150944,19.0
8,NaN,38.728925704956055,3,0.0012396694,18.683333333333334
9,NaN,39.59295209248861,3,0.0011029412,19.0
10,NaN,40.30596669514974,3,9.933775E-4,19.0
Final Results,NaN,40.99997075398763,3,9.463722E-4,19.0

AVERAGES,774,37,,0.0047318609999999995
