Benchmark,latency-Q5,memory,ObIds,Completeness,Current Throughput
1,961.0,39.35856169462204,8,0.025,19.0
2,NaN,40.00688203175863,8,0.012903226,19.0
3,NaN,40.94955666859945,8,0.008695652,19.0
4,NaN,41.54251956939697,8,0.006557377,19.0
5,NaN,42.402377128601074,8,0.005263158,19.0
6,NaN,43.23026816050211,8,0.0043956046,19.0
7,NaN,44.10735162099203,8,0.003773585,18.688524590163933
8,NaN,44.954431215922035,8,0.0033057851,19.0
9,NaN,45.6775910059611,8,0.0029411765,19.0
10,NaN,46.56124973297119,8,0.0026490067,19.0
Final Results,NaN,47.225584983825684,8,0.0025236593,18.387096774193548

AVERAGES,961,43,,0.012618296499999999
