Benchmark,latency-Q5,memory,ObIds,Completeness,Current Throughput
1,1341.0,33.920814037323,2,0.006451613,19.0
2,NaN,34.56488355000814,2,0.0032786885,19.0
3,NaN,35.39789581298828,2,0.0021978023,19.0
4,NaN,36.241930643717446,2,0.0016528926,19.0
5,NaN,37.058767318725586,2,0.0013245033,18.683333333333334
6,NaN,37.93606948852539,2,0.0011049723,19.0
7,NaN,38.78927803039551,2,9.478673E-4,19.0
8,NaN,39.564385732014976,2,8.298755E-4,19.0
9,NaN,40.38922437032064,2,7.3800737E-4,18.683333333333334
10,NaN,41.17755254109701,2,6.644518E-4,19.0
Final Results,NaN,41.805973052978516,2,6.329114E-4,19.0

AVERAGES,1341,37,,0.003164557
