Benchmark,latency-Q5,memory,ObIds,Completeness,Current Throughput
1,246.15625,32.87977981567383,64,0.2,19.0
2,341.3220338983051,32.269887924194336,123,0.1983871,19.0
3,376.78688524590166,32.488210678100586,184,0.2,19.0
4,580.5833333333334,32.53398132324219,244,0.2,19.0
5,751.2833333333333,32.56527010599772,304,0.2,19.0
6,470.1666666666667,32.833396911621094,364,0.2,19.0
7,360.91525423728814,32.7656307220459,423,0.1995283,19.0
8,770.1311475409836,33.06593577067057,484,0.2,19.0
9,599.2833333333333,32.9765370686849,544,0.2,18.683333333333334
10,330.01666666666665,33.08994674682617,604,0.2,19.0
Final Results,333.6,33.17208709716797,629,0.2,19.0

AVERAGES,469,32,,1.0
