Benchmark,latency-Q5,memory,ObIds,Completeness,Current Throughput
1,248.53125,39.28345215320587,64,0.2,19.0
2,267.7,46.50894522666931,124,0.2,19.0
3,305.3606557377049,52.078400452931724,185,0.2,19.0
4,345.21666666666664,57.829673767089844,245,0.2,19.0
5,418.6333333333333,63.68793455759684,305,0.2,19.0
6,795.25,69.29963127772014,365,0.19945355,19.0
7,844.2666666666667,75.0178431669871,425,0.19953051,19.0
8,864.8524590163935,80.79745070139568,486,0.2,19.0
9,814.0,86.62496002515157,546,0.19963437,19.0
10,783.2333333333333,92.23079140981038,606,0.19967051,19.0
Final Results,756.0,96.27169437408448,632,0.2,19.0

AVERAGES,585,69,,1.0
