Benchmark,latency-Q5,memory,ObIds,Completeness,Current Throughput
1,1162.5,38.501062989234924,2,0.0063492064,19.0
2,NaN,40.8269157409668,2,0.0032258064,19.0
3,NaN,41.684059143066406,2,0.002173913,19.0
4,NaN,42.51815986633301,2,0.0016393443,19.0
5,NaN,43.27734629313151,2,0.0013157895,19.0
6,NaN,44.200721740722656,2,0.0010989011,19.0
7,NaN,45.021998723347984,2,9.4339624E-4,19.0
8,NaN,45.814676920572914,2,8.264463E-4,19.0
9,NaN,46.66409683227539,2,7.3529413E-4,18.688524590163933
10,NaN,47.46039263407389,2,6.6225167E-4,19.0
Final Results,NaN,48.04276593526205,2,6.309148E-4,19.0

AVERAGES,1162,44,,0.0031545740000000003
