Benchmark,latency-Q5,memory,ObIds,Completeness,Current Throughput
1,875.0,33.380359172821045,2,0.00625,19.0
2,NaN,33.87542851765951,2,0.0032258064,19.0
3,NaN,34.68863614400228,2,0.002173913,19.0
4,NaN,35.565303802490234,2,0.0016393443,19.0
5,NaN,36.376587549845375,2,0.0013157895,19.0
6,NaN,37.24869600931803,2,0.0010989011,19.0
7,NaN,38.04397773742676,2,9.4339624E-4,18.683333333333334
8,NaN,38.92820930480957,2,8.264463E-4,19.0
9,NaN,39.67281595865885,2,7.3529413E-4,19.0
10,NaN,40.551465352376304,2,6.6225167E-4,19.0
Final Results,NaN,41.0727907816569,2,6.309148E-4,19.0

AVERAGES,875,37,,0.0031545740000000003
