Benchmark,latency-Q5,memory,ObIds,Completeness,Current Throughput
1,1016.0,38.8005485534668,3,0.00952381,19.0
2,NaN,39.734619140625,3,0.004878049,19.0
3,NaN,40.58215077718099,3,0.0032786885,19.0
4,NaN,41.42453257242838,3,0.002469136,19.0
5,NaN,42.26446851094564,3,0.001980198,18.688524590163933
6,NaN,43.128156661987305,3,0.0016528926,19.0
7,NaN,44.0750986735026,3,0.0014184397,19.0
8,NaN,44.79638989766439,3,0.001242236,19.0
9,NaN,45.621630350748696,3,0.0011049723,18.688524590163933
10,NaN,46.443536122639976,3,9.950249E-4,19.0
Final Results,NaN,47.02928606669108,3,9.478673E-4,19.0

AVERAGES,1016,43,,0.0047393365
