Benchmark,latency-Q5,memory,ObIds,Completeness,Current Throughput
1,895.4444444444445,39.04135203361511,63,0.196875,19.0
2,944.6833333333333,46.210073153177895,123,0.1983871,19.0
3,801.4754098360655,51.92755158742269,184,0.2,19.0
4,456.55,57.68510214487711,244,0.2,19.0
5,158.85245901639345,63.39984130859375,305,0.2,19.0
6,62.93333333333333,69.37033208211263,365,0.2,19.0
7,30.7,75.02349535624187,425,0.2,19.0
8,881.05,80.32531587282817,485,0.19958848,19.0
9,974.3166666666667,86.00788911183675,545,0.1996337,19.0
10,943.1,91.69062328338623,605,0.19966997,19.0
Final Results,916.5384615384615,95.79273624420166,631,0.19968355,19.0

AVERAGES,642,68,,0.9984177499999999
