Benchmark,latency-Q5,memory,ObIds,Completeness,Current Throughput
1,2216.3333333333335,39.79067774379955,3,0.00882353,19.0
2,NaN,42.12617142995199,3,0.0046875,19.0
3,NaN,42.99682013193766,3,0.0031914893,19.0
4,NaN,43.89210351308187,3,0.0024193549,19.0
5,NaN,44.61254151662191,3,0.001948052,18.688524590163933
6,NaN,45.57319990793864,3,0.0016304348,19.0
7,NaN,46.342077573140465,3,0.0014018691,19.0
8,NaN,47.1782013575236,3,0.0012295082,19.0
9,NaN,47.94538720448812,3,0.0010948905,18.688524590163933
10,NaN,48.75172201792399,3,9.868421E-4,19.0
Final Results,NaN,49.536475563049315,3,9.478673E-4,19.0

AVERAGES,2216,45,,0.0047393365
