Benchmark,latency-Q5,memory,ObIds,Completeness,Current Throughput
1,802.8095238095239,34.23320198059082,63,0.2,19.0
2,513.2833333333333,32.17577362060547,123,0.2,19.0
3,223.83333333333334,32.399911880493164,183,0.2,19.0
4,709.2,32.45360438028971,243,0.2,19.0
5,539.75,32.44269561767578,303,0.2,18.688524590163933
6,252.98333333333332,32.54935073852539,363,0.2,19.0
7,670.65,32.68790245056152,423,0.2,19.0
8,567.6333333333333,32.731274922688804,483,0.2,18.688524590163933
9,278.0,32.81400807698568,543,0.2,19.0
10,619.8333333333334,32.962170918782554,603,0.2,19.0
Final Results,723.88,32.97267303466797,628,0.2,19.0

AVERAGES,536,32,,1.0
