Benchmark,latency-Q5,memory,ObIds,Completeness,Current Throughput
1,1835.9375,37.78321695327759,16,0.05079365,19.0
2,NaN,37.5470822652181,16,0.02601626,19.0
3,NaN,38.36612892150879,16,0.01748634,19.0
4,NaN,39.21362495422363,16,0.013168724,19.0
5,NaN,40.02889315287272,16,0.010561056,18.683333333333334
6,NaN,40.884514490763344,16,0.008815427,19.0
7,NaN,41.73191452026367,16,0.0075650117,19.0
8,NaN,42.56046676635742,16,0.006625259,19.0
9,NaN,43.37268892923991,16,0.005893186,18.683333333333334
10,NaN,44.183655420939125,16,0.0053067994,19.0
Final Results,NaN,44.78467814127604,16,0.005055292,19.0

AVERAGES,1835,40,,0.02527646
