Benchmark,latency-Q5,memory,ObIds,Completeness,Current Throughput
1,1001.3469387755102,40.209604024887085,49,0.15076923,19.0
2,27249.0,45.531581242879234,56,0.0896,19.0
3,NaN,46.51088905334473,56,0.060540542,19.0
4,NaN,47.3829148610433,56,0.045714285,19.0
5,NaN,48.157646814982094,56,0.03672131,19.0
6,NaN,49.00177510579427,56,0.030684931,18.688524590163933
7,NaN,49.837681452433266,56,0.026352942,19.0
8,NaN,50.65539232889811,56,0.023092784,19.0
9,NaN,51.45844968159994,56,0.02055046,18.688524590163933
10,NaN,52.319435119628906,56,0.018512396,19.0
Final Results,NaN,52.91633567810059,56,0.017777778,19.0

AVERAGES,14125,48,,0.08888889
