Benchmark,latency-Q5,memory,ObIds,Completeness,Current Throughput
1,1267.4444444444443,34.01770782470703,63,0.196875,19.0
2,1146.3934426229507,32.17108662923177,124,0.2,19.0
3,654.3898305084746,32.264465967814125,183,0.19891304,19.0
4,956.7377049180328,32.34864298502604,244,0.2,19.0
5,709.65,32.445311864217125,304,0.2,19.0
6,735.3333333333334,32.53431828816732,364,0.2,18.683333333333334
7,983.3728813559322,32.64320182800293,423,0.1995283,19.0
8,667.311475409836,32.72789065043131,484,0.2,18.683333333333334
9,907.5,32.8058172861735,544,0.2,19.0
10,851.0847457627119,32.903570810953774,603,0.19966887,19.0
Final Results,793.9615384615385,32.964794921875,629,0.2,19.0

AVERAGES,879,32,,1.0
