Benchmark,latency-Q5,memory,ObIds,Completeness,Current Throughput
1,940.1290322580645,40.38031667470932,62,0.1968254,19.0
2,750.016393442623,46.27478758494059,123,0.1983871,19.0
3,678.8524590163935,52.10292021433512,184,0.2,19.0
4,414.73333333333335,57.934406042099,244,0.19918367,19.0
5,399.327868852459,63.63109461466471,305,0.19934641,19.0
6,406.1803278688525,69.44332631429036,366,0.2,19.0
7,352.6333333333333,75.1765734354655,426,0.19953161,19.0
8,1020.8666666666667,80.47026228904724,486,0.19958933,19.0
9,1259.8166666666666,85.81591828664143,546,0.19927007,18.688524590163933
10,1181.327868852459,91.63677565256755,607,0.19967106,19.0
Final Results,1091.5,95.71494693756104,633,0.19968455,19.0

AVERAGES,772,68,,0.9984227499999999
