Benchmark,latency-Q5,memory,ObIds,Completeness,Current Throughput
1,1151.6190476190477,38.956240594387054,63,0.196875,19.0
2,1190.8688524590164,46.11283906300863,124,0.2,19.0
3,718.2333333333333,51.88587029774984,184,0.2,19.0
4,395.0163934426229,57.70304719607035,245,0.2,19.0
5,656.3333333333334,63.41062219937643,305,0.19934641,19.0
6,1281.9333333333334,69.1391617457072,365,0.19945355,18.683333333333334
7,1166.8833333333334,74.92464860280354,425,0.19906323,19.0
8,1061.3225806451612,80.69082546234131,487,0.2,19.0
9,976.7,86.49016412099202,547,0.19963504,19.0
10,888.3666666666667,92.26951440175374,607,0.19934319,19.0
Final Results,824.2307692307693,96.37998447418212,633,0.19968455,19.0

AVERAGES,937,68,,0.9984227499999999
