Benchmark,latency-Q5,memory,ObIds,Completeness,Current Throughput
1,438.5079365079365,32.92330980300903,63,0.2,19.0
2,334.4166666666667,32.60891977945963,123,0.2,19.0
3,628.55,32.46274948120117,183,0.2,19.0
4,345.46666666666664,32.78526751200358,243,0.2,18.688524590163933
5,633.2166666666667,32.71761576334635,303,0.2,19.0
6,435.35,32.902012507120766,363,0.2,19.0
7,466.76271186440675,33.06730397542318,422,0.19952719,18.683333333333334
8,629.2131147540983,33.001038233439125,483,0.2,19.0
9,342.48333333333335,33.252983729044594,543,0.2,19.0
10,629.2333333333333,33.15978113810221,603,0.2,19.0
Final Results,464.4,33.31688690185547,628,0.2,19.0

AVERAGES,486,32,,1.0
