Benchmark,latency-Q5,memory,ObIds,Completeness,Current Throughput
1,443.1333333333333,34.54923105239868,60,0.19672132,19.0
2,1012.360655737705,32.25224304199219,121,0.19836065,19.0
3,1041.2166666666667,32.4189027150472,181,0.1989011,19.0
4,813.8360655737705,32.45229530334473,242,0.2,19.0
5,418.18333333333334,32.584693908691406,302,0.2,19.0
6,888.95,32.63015619913737,362,0.2,19.0
7,499.6166666666667,32.78349240620931,422,0.2,18.683333333333334
8,767.3728813559322,32.84908231099447,481,0.19958507,18.683333333333334
9,478.11475409836066,32.922903060913086,542,0.2,19.0
10,802.5166666666667,33.12010955810547,602,0.2,19.0
Final Results,669.5,33.02375411987305,632,0.2,18.387096774193548

AVERAGES,712,32,,1.0
