Benchmark,latency-Q5,memory,ObIds,Completeness,Current Throughput
1,1355.438596491228,35.78623294830322,57,0.18095239,19.0
2,5680.75,35.80987675984701,61,0.099186994,19.0
3,NaN,36.6167786916097,61,0.06666667,19.0
4,NaN,37.44482421875,61,0.05020576,19.0
5,NaN,38.26682790120443,61,0.040264025,19.0
6,NaN,39.069863637288414,61,0.033608817,18.683333333333334
7,NaN,39.956509272257485,61,0.028841607,19.0
8,NaN,40.739871978759766,61,0.0252588,19.0
9,NaN,41.57891082763672,61,0.022467772,19.0
10,NaN,42.3630797068278,61,0.020232173,18.683333333333334
Final Results,NaN,42.98293685913086,61,0.019273302,19.0

AVERAGES,3518,39,,0.09636650999999999
