Benchmark,latency-Q5,memory,ObIds,Completeness,Current Throughput
1,765.1428571428571,32.73526573181152,63,0.2,19.0
2,1098.8333333333333,32.23461405436198,123,0.2,19.0
3,614.15,32.283081690470375,183,0.2,19.0
4,930.5333333333333,32.36745961507162,243,0.2,19.0
5,463.9,32.47666803995768,303,0.1993421,18.688524590163933
6,567.5833333333334,32.558810551961265,363,0.19945055,19.0
7,1132.4754098360656,32.79344367980957,424,0.2,19.0
8,625.2166666666667,32.78577550252279,484,0.2,19.0
9,890.15,32.86321194966634,544,0.2,18.683333333333334
10,825.4166666666666,32.92862510681152,604,0.2,19.0
Final Results,722.8,32.97161865234375,629,0.2,19.0

AVERAGES,785,32,,1.0
