Benchmark,latency-Q5,memory,ObIds,Completeness,Current Throughput
1,380.828125,39.1531520485878,64,0.2,19.0
2,327.4754098360656,46.50943168004354,125,0.2,19.0
3,346.2295081967213,52.36762730280558,186,0.2,19.0
4,350.53333333333336,58.05793984731039,246,0.2,19.0
5,423.8032786885246,63.818564335505165,307,0.2,19.0
6,869.6333333333333,69.43677155176799,367,0.19945653,19.0
7,1033.6333333333334,75.14171616236369,427,0.19953272,19.0
8,1004.1475409836065,80.96796488761902,488,0.199591,19.0
9,919.4426229508197,86.72884774208069,549,0.2,19.0
10,736.1333333333333,92.50773437817891,609,0.19967213,19.0
Final Results,704.8461538461538,96.73545818328857,635,0.2,19.0

AVERAGES,645,69,,1.0
