Benchmark,latency-Q5,memory,ObIds,Completeness,Current Throughput
1,461.46875,39.27411252260208,64,0.2,19.0
2,415.85483870967744,46.68893575668335,126,0.2,19.0
3,371.08196721311475,52.6588651339213,187,0.2,19.0
4,343.5,58.35131708780924,247,0.19919355,19.0
5,341.672131147541,64.24364256858826,308,0.19935276,19.0
6,336.0,69.9871043364207,370,0.2,19.0
7,309.43333333333334,75.86745341618855,430,0.19953597,19.0
8,349.38709677419354,81.67117468516032,492,0.2,19.0
9,291.55737704918033,87.48560746510823,553,0.2,19.0
10,298.08196721311475,93.29403241475423,614,0.2,19.0
Final Results,284.55,97.02500128746033,634,0.2,19.0

AVERAGES,345,69,,1.0
