Benchmark,latency-Q5,memory,ObIds,Completeness,Current Throughput
1,840.3174603174604,32.80056619644165,63,0.2,19.0
2,482.8666666666667,32.25994110107422,123,0.2,19.0
3,203.3,32.312939961751304,183,0.2,19.0
4,772.1833333333333,32.45083427429199,243,0.2,18.683333333333334
5,522.4166666666666,32.58259391784668,303,0.2,19.0
6,240.85,32.58674685160319,363,0.2,19.0
7,723.45,32.68745040893555,423,0.2,19.0
8,541.55,32.770612716674805,483,0.2,19.0
9,251.83333333333334,32.81276512145996,543,0.2,18.683333333333334
10,674.3666666666667,33.09657351175944,603,0.2,19.0
Final Results,665.24,33.076960754394534,628,0.2,19.0

AVERAGES,538,32,,1.0
