Benchmark,latency-Q5,memory,ObIds,Completeness,Current Throughput
1,659.008064516129,44.414887845516205,124,0.1984,38.0
2,413.8606557377049,46.729454120000206,246,0.2,38.0
3,478.14285714285717,52.527971267700195,365,0.19945355,37.68333333333333
4,693.7166666666667,58.22319793701172,485,0.19958848,38.0
5,462.2083333333333,64.08840735753377,605,0.19934101,38.0
6,311.3606557377049,70.074720064799,727,0.2,38.0
7,550.6218487394958,75.80590494473775,846,0.19976388,37.68333333333333
8,474.1885245901639,81.59971157709758,968,0.2,38.0
9,314.83870967741933,86.3813009262085,999,0.2,10.278688524590164
10,NaN,86.44336891174316,999,0.2,0.0
Final Results,NaN,86.61937561035157,999,0.2,0.0

AVERAGES,484,68,,1.0
