Benchmark,latency-Q5,memory,ObIds,Completeness,Current Throughput
1,761.741935483871,38.91592985041001,62,0.1968254,19.0
2,900.672131147541,46.4176975886027,123,0.2,19.0
3,653.6666666666666,52.10417397816976,183,0.19891304,19.0
4,515.85,57.8287738164266,243,0.19918033,19.0
5,495.2295081967213,63.60130786895752,304,0.2,19.0
6,442.15,69.41294129689534,364,0.19945206,19.0
7,361.0655737704918,75.12705262502034,425,0.2,19.0
8,333.1333333333333,80.93681748708089,485,0.2,19.0
9,301.51666666666665,86.6280444463094,545,0.1996337,19.0
10,242.34426229508196,92.35453701019287,606,0.2,19.0
Final Results,215.36,96.5673791885376,631,0.2,19.0

AVERAGES,474,69,,1.0
