Benchmark,latency-Q5,memory,ObIds,Completeness,Current Throughput
1,686.1666666666666,32.88151741027832,126,0.1984252,38.0
2,599.05,32.467053731282554,246,0.19919029,38.0
3,462.4710743801653,32.666775385538735,367,0.2,37.68333333333333
4,573.1,32.77908579508463,487,0.2,38.0
5,494.96638655462186,33.05400276184082,606,0.19967051,38.0
6,524.7333333333333,33.202415466308594,726,0.1997249,38.0
7,534.5041322314049,33.34262720743815,847,0.2,37.68333333333333
8,457.6,33.54754130045573,967,0.2,38.0
9,324.8125,33.619040171305336,999,0.2,10.45
10,NaN,33.54859924316406,999,0.2,0.0
Final Results,NaN,33.80270538330078,999,0.2,0.0

AVERAGES,517,33,,1.0
