Benchmark,latency-Q5,memory,ObIds,Completeness,Current Throughput
1,859.8951612903226,34.111637115478516,124,0.1968254,38.0
2,852.3471074380166,32.3778190612793,245,0.199187,38.0
3,896.75,32.54462750752767,365,0.19945355,37.36666666666667
4,843.218487394958,32.73435084025065,484,0.19917695,37.68852459016394
5,868.0413223140496,32.899482091267906,605,0.19966997,37.68333333333333
6,831.218487394958,33.106133778889976,724,0.19944903,38.0
7,838.2314049586777,33.27914619445801,845,0.1997636,38.0
8,808.6528925619834,33.506469090779625,966,0.19979317,38.0
9,968.6969696969697,33.53698285420736,999,0.2,10.45
10,NaN,33.50568199157715,999,0.2,0.0
Final Results,NaN,33.5029296875,999,0.2,0.0

AVERAGES,863,33,,1.0
