Benchmark,latency-Q5,memory,ObIds,Completeness,Current Throughput
1,906.765625,38.972209593828985,128,0.19844961,38.0
2,740.3223140495868,46.74569487571716,249,0.1992,37.68852459016394
3,863.2521008403361,52.6256152788798,368,0.19891892,37.68852459016394
4,850.7190082644628,58.438662687937416,489,0.19959183,37.68333333333333
5,735.7438016528926,64.37088330586751,610,0.19967267,38.0
6,856.3361344537815,70.18727159500122,729,0.1994528,37.68333333333333
7,841.6528925619834,76.07294829686482,850,0.19976498,37.377049180327866
8,702.198347107438,81.98385794957478,971,0.19979423,38.0
9,1030.607142857143,86.27949142456055,999,0.2,8.55
10,NaN,86.45275370279948,999,0.2,0.0
Final Results,NaN,86.48121795654296,999,0.2,0.0

AVERAGES,836,68,,1.0
