Benchmark,latency-Q5,memory,ObIds,Completeness,Current Throughput
1,1069.6666666666667,32.69191932678223,63,0.196875,19.0
2,1123.4426229508197,32.223703384399414,124,0.2,19.0
3,576.6,32.302469889322914,184,0.2,19.0
4,971.9833333333333,32.347460428873696,244,0.2,18.683333333333334
5,730.2166666666667,32.45165697733561,304,0.2,19.0
6,810.6,32.531120936075844,364,0.2,18.683333333333334
7,849.7457627118644,32.64327176411947,423,0.1995283,19.0
8,689.0327868852459,32.71183840433756,484,0.2,19.0
9,955.1,32.80952517191569,544,0.2,18.683333333333334
10,693.8644067796611,32.9397824605306,603,0.19966887,19.0
Final Results,1100.1923076923076,32.95894927978516,629,0.2,19.0

AVERAGES,870,32,,1.0
