Benchmark,latency-Q5,memory,ObIds,Completeness,Current Throughput
1,1185.1967213114754,40.034474432468414,61,0.1967742,19.0
2,972.0491803278688,45.66907978057861,122,0.2,19.0
3,771.0833333333334,51.39715846379598,182,0.2,18.688524590163933
4,586.5666666666667,57.165117025375366,242,0.19917695,19.0
5,369.39344262295083,62.9901180267334,303,0.2,19.0
6,1036.8,68.32714160283406,363,0.19945055,19.0
7,1185.1166666666666,73.97532685597737,423,0.1995283,19.0
8,938.8032786885246,79.73285897572835,484,0.19958763,18.688524590163933
9,846.7868852459017,85.5556230545044,545,0.2,19.0
10,752.5333333333333,91.29929828643799,605,0.19966997,19.0
Final Results,706.88,95.41010837554931,630,0.19968304,19.0

AVERAGES,850,68,,0.9984152
