Benchmark,latency-Q1_20MB,memory,ObIds,Completeness,Current Throughput
1,366.3972602739726,56.6939576955942,130,0.2,38.0
2,330.98823529411766,63.43108876546224,250,0.2,38.0
3,337.21666666666664,71.0601863861084,370,0.2,38.0
4,326.296875,77.09847068786621,490,0.2,37.377049180327866
5,351.98387096774195,83.68351491292317,610,0.2,38.0
6,332.2463768115942,89.15395545959473,730,0.2,37.377049180327866
7,343.44615384615383,95.65276781717937,850,0.2,38.0
8,331.24590163934425,101.95124626159668,970,0.2,37.377049180327866
9,328.2,108.06662702560425,1090,0.2,38.0
10,347.77777777777777,114.88486798604329,1210,0.2,37.377049180327866
Final Results,366.9375,118.6407901763916,1260,0.2,38.0

AVERAGES,342,89,,1.0
