Benchmark,latency-Q10_5,memory,ObIds,Completeness,Current Throughput
1,1135.225,37.91202486478365,320,0.9846154,20.0
2,1011.2918032786886,42.947264194488525,625,1.0,20.0
3,541.6366666666667,49.36956898371378,925,1.0,20.0
4,1145.2666666666667,55.9002460638682,1225,1.0,19.672131147540984
5,773.2433333333333,62.63474424680074,1525,0.996732,20.0
6,569.0733333333334,69.38819972674052,1825,0.9972678,20.0
7,518.1770491803279,75.9172175725301,2130,1.0,20.0
8,494.02666666666664,83.09204546610515,2430,1.0,20.0
9,388.48,90.40353329976399,2730,0.99817187,20.0
10,794.25,97.44664192199707,3030,0.9983525,20.0
Final Results,1329.568,102.34219951629639,3155,0.99841774,20.0

AVERAGES,790,69,,4.9920887
