Benchmark,latency-Q5,memory,ObIds,Completeness,Current Throughput
1,92.4,39.698732137680054,63,0.2,19.0
2,57.285714285714285,47.642001152038574,122,0.2,18.683333333333334
3,48.92857142857143,52.960323651631676,182,0.2,18.688524590163933
4,60.86206896551724,58.76760149002075,241,0.2,18.683333333333334
5,45.10344827586207,64.9862756729126,301,0.2,18.688524590163933
6,64.33333333333333,69.85287714004517,360,0.2,18.366666666666667
7,53.36,76.17473268508911,419,0.2,18.688524590163933
8,50.55555555555556,81.45689105987549,479,0.2,19.0
9,64.41379310344827,87.26879119873047,538,0.2,18.37704918032787
10,43.642857142857146,93.45263195037842,598,0.2,18.688524590163933
Final Results,60.22222222222222,96.92807445526122,622,0.2,18.24

AVERAGES,58,69,,1.0
