Benchmark,latency-Q10_5,memory,ObIds,Completeness,Current Throughput
1,400.70542635658916,39.47214566744291,323,0.9938462,20.0
2,356.0,51.81848462422689,623,0.9968,20.0
3,337.5652173913044,56.7970339457194,923,0.99783784,20.0
4,333.07936507936506,62.37901369730631,1223,0.99836737,19.672131147540984
5,321.515625,68.64131546020508,1523,0.9986885,20.0
6,337.2835820895522,73.94244766235352,1823,0.9989041,19.672131147540984
7,334.0344827586207,80.3122673034668,2123,0.99671364,20.0
8,346.1875,90.88084665934245,2428,0.999177,20.0
9,341.1478260869565,101.91861343383789,2733,0.9992687,20.0
10,329.08474576271186,113.97786458333333,3033,0.999341,20.0
Final Results,335.6296296296296,120.39150123596191,3158,0.9984192,20.0

AVERAGES,342,78,,4.992095999999999
