Benchmark,latency-Q10_8,memory,ObIds,Completeness,Current Throughput
1,25485.613445378152,36.86663231482873,119,0.11531008,64.0
2,80982.75,43.899645487467446,131,0.06576305,64.0
3,127453.0,51.40506235758463,132,0.044715445,63.08196721311475
4,206285.0,58.63123639424642,133,0.033997957,64.0
5,291757.0,66.05134391784668,134,0.027504105,63.46666666666667
6,NaN,73.42349624633789,134,0.02297668,63.47540983606557
7,377335.0,80.76101239522298,135,0.019876326,64.0
8,462972.0,88.06256294250488,136,0.01754386,63.46666666666667
9,NaN,95.36356862386067,136,0.015610652,63.08196721311475
10,543078.0,102.71602821350098,137,0.014164599,63.46666666666667
Final Results,NaN,107.99668312072754,137,0.013602065,64.0

AVERAGES,264418,73,,0.068010325
