Benchmark,latency-Q10_8,memory,ObIds,Completeness,Current Throughput
1,887.4921875,36.001937279334435,512,0.9846154,32.0
2,869.9651639344262,42.17689577738444,1000,1.0,32.0
3,848.3979166666667,48.13790067036947,1480,1.0,32.0
4,725.5375,54.35633977254232,1960,0.99593496,32.0
5,708.1,60.228745778401695,2440,0.996732,32.0
6,682.90625,66.1417064666748,2920,0.9972678,32.0
7,664.3975409836065,72.10154024759929,3408,1.0,32.0
8,646.25,78.19073104858398,3888,0.9979466,32.0
9,624.91875,84.2964973449707,4368,0.99817187,32.0
10,605.3647540983607,90.19502766927083,4856,1.0,32.0
Final Results,599.82,94.6191562652588,5056,1.0,32.0

AVERAGES,714,66,,5.0
