Benchmark,latency-Q10_8,memory,ObIds,Completeness,Current Throughput
1,3297.561797752809,44.042499835674576,89,0.03454969,159.5
2,94670.0,61.57398478190104,93,0.01868971,159.46666666666667
3,129134.0,79.93163935343425,94,0.012744035,158.95081967213116
4,201374.0,98.30823834737141,95,0.009717676,158.4
5,NaN,116.55169486999512,95,0.007802234,158.95081967213116
6,NaN,135.1431509653727,95,0.006517563,158.4
7,399975.0,153.432591120402,96,0.0056550424,158.4262295081967
8,NaN,171.72071647644043,96,0.004954583,157.9016393442623
9,NaN,189.8340015411377,96,0.004408523,157.9016393442623
10,600498.0,208.0340633392334,97,0.0040122434,156.85245901639345
Final Results,NaN,221.136079788208,97,0.0038528757,157.44

AVERAGES,238158,134,,0.0192643785
