Benchmark,latency-Q10_8,memory,ObIds,Completeness,Current Throughput
1,290.5853658536585,41.13339644211989,515,0.99038464,32.0
2,21.52777777777778,52.541290918986,995,0.995,32.0
3,21.641025641025642,64.19340324401855,1477,0.99327505,32.0
4,24.317073170731707,79.70324770609538,1963,0.99745935,32.0
5,22.512820512820515,104.6799545288086,2443,0.9979575,32.0
6,21.428571428571427,124.37305514017741,2923,0.9982923,32.0
7,22.658536585365855,149.50659052530924,3403,0.9985329,32.0
8,31.672727272727272,175.83138275146484,3891,0.99871665,32.0
9,26.304347826086957,206.54421043395996,4371,0.9988574,32.0
10,26.918367346938776,243.80720074971518,4851,0.9989703,32.0
Final Results,23.96969696969697,261.0265522003174,5051,0.9990111,32.0

AVERAGES,48,136,,4.9950555
