Benchmark,latency-Q5,memory,ObIds,Completeness,Current Throughput
1,1802.391304347826,39.92994891272651,20,0.054054055,19.0
2,1858.1,47.6412710348765,40,0.05925926,19.0
3,1676.9473684210527,53.42648140589396,59,0.060512822,19.0
4,1231.2105263157894,59.28697943687439,75,0.05859375,19.0
5,1273.0,65.22555200258891,95,0.059936907,19.0
6,1820.6666666666667,71.16611345609029,113,0.05994695,19.0
7,1950.0,76.86361861228943,130,0.05936073,19.0
8,1836.590909090909,82.65157882372539,150,0.06012024,19.0
9,1812.7619047619048,88.4022565682729,170,0.060822897,19.0
10,1496.0625,94.14164511362712,186,0.06,18.688524590163933
Final Results,1457.125,98.30517635345458,194,0.060155038,19.0

AVERAGES,1655,70,,0.30077518999999997
