Benchmark,latency-Q5,memory,ObIds,Completeness,Current Throughput
1,92.58620689655173,41.01962637901306,62,0.2,19.0
2,59.03225806451613,47.57570552825928,122,0.2,19.0
3,52.2962962962963,52.969520250956215,182,0.2,18.688524590163933
4,56.241379310344826,58.73662829399109,242,0.2,19.0
5,46.88,65.02644157409668,302,0.2,19.0
6,57.83870967741935,69.95085088411967,362,0.2,18.688524590163933
7,59.892857142857146,76.4718161424001,422,0.2,18.683333333333334
8,51.607142857142854,81.50873438517253,482,0.2,19.0
9,64.37037037037037,87.25845845540364,542,0.2,18.683333333333334
10,46.46153846153846,93.67157808939616,602,0.2,19.0
Final Results,68.29411764705883,96.82191276550293,627,0.2,19.0

AVERAGES,59,70,,1.0
