Benchmark,latency-Q1,memory,ObIds,Completeness,Current Throughput
1,636.5555555555555,39.95409852266312,130,0.1969697,38.0
2,674.2588235294118,48.43797175089518,252,0.2,38.0
3,650.7433628318585,59.21366628011068,370,0.19892474,38.0
4,671.9807692307693,69.35574022928874,492,0.2,37.36666666666667
5,652.0895522388059,79.69420496622722,610,0.19934641,38.0
6,656.408695652174,86.89356676737468,732,0.2,37.377049180327866
7,654.9880952380952,95.87295087178548,852,0.2,38.0
8,663.6818181818181,105.31188011169434,972,0.2,37.377049180327866
9,635.1030927835052,112.5439510345459,1092,0.2,38.0
10,679.25,123.18951797485352,1210,0.19966997,37.377049180327866
Final Results,606.9795918367347,126.59746437072754,1262,0.2,38.0

AVERAGES,652,86,,1.0
