Benchmark,latency-Q10_8,memory,ObIds,Completeness,Current Throughput
1,698.3784860557769,37.333131056565506,1016,0.9844961,64.0
2,744.978021978022,44.56965001424154,1983,0.9954819,63.46666666666667
3,747.95,50.62349955240885,2944,0.99728996,64.0
4,648.7718832891246,57.05496915181478,3896,0.99591005,63.2
5,821.6676470588235,64.46322631835938,4864,1.0,63.46666666666667
6,734.3648293963255,69.46949513753255,5824,1.0,64.0
7,922.76,76.36760838826497,6424,0.9975155,40.39344262295082
8,12870.773255813954,78.75944391886394,6615,0.8978013,62.4
9,71959.2,83.9153340657552,6620,0.862316,20.066666666666666
10,136495.16666666666,84.45252863566081,6626,0.86309755,0.0
Final Results,178803.0,84.67020301818847,6628,0.8633581,0.0

AVERAGES,36858,66,,4.3167905
