Benchmark,latency-Q10_8,memory,ObIds,Completeness,Current Throughput
1,3873.189189189189,42.03024057241586,153,0.05939441,159.5
2,91776.5,60.25491523742676,155,0.03844246,98.13333333333334
3,156781.66666666666,64.3556677500407,158,0.039186507,0.0
4,220815.5,64.27316538492839,160,0.03968254,0.0
5,270214.5,64.31612777709961,162,0.04017857,0.0
6,335941.6666666667,64.27694447835286,165,0.04092262,0.0
7,402243.5,64.44442749023438,167,0.04141865,0.0
8,451758.0,64.32029660542806,169,0.041914683,0.0
9,489289.0,64.36305554707845,170,0.042162698,0.0
10,NaN,64.32211367289226,170,0.042162698,0.0
Final Results,NaN,64.19704322814941,170,0.042162698,0.0

AVERAGES,269188,61,,0.21081349
