Benchmark,latency-Q10_8,memory,ObIds,Completeness,Current Throughput
1,2975.983870967742,36.91702211820162,62,0.06007752,64.0
2,113563.0,44.73962656656901,63,0.031626508,64.0
3,168572.0,51.90164566040039,64,0.021680217,62.950819672131146
4,NaN,59.32181358337402,64,0.016359918,64.0
5,NaN,66.69540087381999,64,0.013136289,63.46666666666667
6,NaN,74.06310590108235,64,0.010973937,63.47540983606557
7,NaN,81.48144086201985,64,0.009422851,64.0
8,444736.01470588235,88.89145024617513,132,0.017027864,63.46666666666667
9,494831.1666666667,96.18518257141113,138,0.015840221,63.47540983606557
10,NaN,103.55895868937175,138,0.01426799,63.46666666666667
Final Results,609883.0,108.74140968322754,139,0.013800635,61.84615384615385

AVERAGES,305760,73,,0.069003175
