Benchmark,latency-Q1,memory,ObIds,Completeness,Current Throughput
1,2383.4444444444443,40.328849739498565,43,0.055844154,38.0
2,2447.296296296296,48.67058642705282,90,0.06428572,38.0
3,2146.42,54.68721882502238,136,0.06699508,38.0
4,2219.809523809524,60.86102875073751,178,0.067424245,38.0
5,1626.0625,66.93114153544109,222,0.06830769,38.0
6,2056.1176470588234,73.04455924034119,255,0.06623377,38.0
7,1696.2380952380952,79.32499122619629,296,0.066367716,38.0
8,2352.8,85.61057543754578,338,0.066404715,38.0
9,2117.5813953488373,91.76466623942058,379,0.06625874,38.0
10,2331.775,98.03818726539612,418,0.06603476,38.0
Final Results,3144.3333333333335,101.71051740646362,427,0.06630435,38.0

AVERAGES,2229,72,,0.33152174999999995
