Benchmark,latency-Q5,memory,ObIds,Completeness,Current Throughput
1,860.6626506024096,39.36406946182251,64,0.2,19.0
2,741.3835616438356,46.65087286631266,124,0.2,19.0
3,416.2361111111111,52.406039237976074,184,0.2,19.0
4,448.4166666666667,58.1432269414266,244,0.2,19.0
5,894.4,63.73255252838135,304,0.19934426,19.0
6,852.5657894736842,69.50764815012614,364,0.19945206,19.0
7,796.68,75.35415172576904,425,0.2,19.0
8,706.578947368421,81.07693576812744,485,0.19958848,18.688524590163933
9,649.171052631579,86.7813367843628,545,0.1996337,19.0
10,603.5135135135135,92.552108446757,606,0.2,19.0
Final Results,559.1666666666666,96.60586490631104,631,0.19968355,19.0

AVERAGES,684,69,,0.9984177499999999
