Benchmark,latency-Q5,memory,ObIds,Completeness,Current Throughput
1,89.12903225806451,41.000091314315796,64,0.2,19.0
2,56.25,47.68046855926514,124,0.2,19.0
3,47.357142857142854,53.034016609191895,184,0.2,19.0
4,55.370370370370374,58.67393652598063,244,0.2,19.0
5,49.24,65.09460353851318,304,0.2,18.688524590163933
6,47.51851851851852,69.91242599487305,364,0.2,19.0
7,45.275862068965516,76.35076713562012,424,0.2,19.0
8,46.15384615384615,81.65593083699544,484,0.2,18.688524590163933
9,48.0,87.26782329877217,544,0.2,19.0
10,45.65217391304348,93.616530418396,604,0.2,19.0
Final Results,55.388888888888886,97.03267345428466,629,0.2,19.0

AVERAGES,53,70,,1.0
