Benchmark,latency-Q10_5,memory,ObIds,Completeness,Current Throughput
1,821.33125,37.752913841834435,320,0.9846154,20.0
2,786.2032786885246,42.14438565572103,625,1.0,20.0
3,740.6233333333333,48.12839380900065,925,0.99462366,20.0
4,705.0833333333334,54.29494301478068,1225,0.99593496,20.0
5,676.0833333333334,60.142295837402344,1525,0.996732,20.0
6,649.9409836065573,66.18052037556966,1830,1.0,20.0
7,606.7566666666667,72.14902178446452,2130,0.9976581,20.0
8,575.4533333333334,78.12126731872559,2430,0.9979466,20.0
9,550.4262295081967,84.15573438008626,2735,1.0,20.0
10,526.6766666666666,90.22050666809082,3035,0.99901253,20.0
Final Results,493.504,94.64443969726562,3160,0.99842024,20.0

AVERAGES,648,66,,4.9921012
