Benchmark,latency-Q5,memory,ObIds,Completeness,Current Throughput
1,495.625,40.656263649463654,63,0.2,19.0
2,138.77027027027026,46.72702932357788,124,0.2,19.0
3,102.28,52.574554443359375,184,0.2,19.0
4,114.80263157894737,58.512149016062416,245,0.2,19.0
5,82.79166666666667,64.21853335698445,305,0.2,19.0
6,536.3013698630137,69.93732492129008,365,0.19945355,19.0
7,622.7432432432432,75.68069974581401,426,0.2,19.0
8,540.4857142857143,81.53767379124959,487,0.2,19.0
9,406.4657534246575,87.26370008786519,547,0.19963504,18.688524590163933
10,334.9178082191781,93.17844478289287,609,0.2,19.0
Final Results,277.8333333333333,97.19989223480225,634,0.2,19.0

AVERAGES,332,69,,1.0
