Benchmark,latency-Q5,memory,ObIds,Completeness,Current Throughput
1,814.3589743589744,40.71147060394287,64,0.2,19.0
2,634.2105263157895,46.78725083669027,124,0.2,19.0
3,231.41558441558442,52.3588228225708,184,0.2,19.0
4,757.8481012658228,58.080811977386475,244,0.2,18.688524590163933
5,344.26666666666665,63.825341860453285,304,0.19934426,19.0
6,135.41772151898735,69.88498210906982,365,0.2,19.0
7,91.61842105263158,75.43134593963623,425,0.2,19.0
8,131.24096385542168,81.41848222414653,486,0.2,19.0
9,797.2207792207793,87.16133650143941,546,0.2,19.0
10,858.1428571428571,92.83683959643047,606,0.19967051,19.0
Final Results,849.0,96.95767574310302,631,0.19968355,19.0

AVERAGES,513,69,,0.9984177499999999
