Benchmark,latency-Q10,memory,ObIds,Completeness,Current Throughput
1,360.23943661971833,36.1231935941256,130,1.0,8.0
2,345.91379310344826,42.87719408671061,250,1.0,8.0
3,321.0,47.913811365763344,370,1.0,8.0
4,335.8095238095238,53.72727584838867,490,1.0,8.0
5,349.9032258064516,59.95974477132162,610,1.0,7.868852459016393
6,337.77777777777777,64.8692003885905,730,1.0,8.0
7,340.125,71.18523343404134,850,1.0,7.868852459016393
8,316.6101694915254,76.38387680053711,970,1.0,8.0
9,331.3492063492063,82.1542288462321,1090,0.99816847,8.0
10,323.2295081967213,88.03697077433269,1212,1.0,8.0
Final Results,339.18518518518516,91.5443561553955,1262,1.0,8.0

AVERAGES,336,64,,5.0
