Benchmark,latency-Q1,memory,ObIds,Completeness,Current Throughput
1,93.60416666666667,43.46632645924886,122,0.2,38.0
2,59.06818181818182,56.65090044339498,242,0.2,37.36666666666667
3,44.80555555555556,67.33745447794597,362,0.2,38.0
4,60.71052631578947,78.95861768722534,481,0.2,37.36666666666667
5,45.766666666666666,91.07398859659831,601,0.2,37.68852459016394
6,63.05263157894737,101.07171082496643,721,0.2,37.36666666666667
7,65.3030303030303,113.67677609125774,841,0.2,37.377049180327866
8,50.6764705882353,124.35445181528728,961,0.2,38.0
9,61.02857142857143,135.87370856602988,1081,0.2,37.36666666666667
10,44.35294117647059,147.1179927190145,1201,0.2,38.0
Final Results,61.645161290322584,151.60463123321534,1251,0.2,36.48

AVERAGES,59,101,,1.0
