Benchmark,latency-Q10_8,memory,ObIds,Completeness,Current Throughput
1,3880.818897637795,42.19012627234826,133,0.051630434,159.5
2,94478.28571428571,60.269164403279625,140,0.034722224,98.13333333333334
3,176330.0,64.41248448689778,141,0.03497024,0.0
4,NaN,64.496337890625,141,0.03497024,0.0
5,NaN,64.2883752187093,141,0.03497024,0.0
6,354580.0,64.33132680257161,142,0.035218254,0.0
7,NaN,64.45729700724284,142,0.035218254,0.0
8,NaN,64.37350654602051,142,0.035218254,0.0
9,535230.0,64.41549682617188,143,0.03546627,0.0
10,NaN,64.45795567830403,143,0.03546627,0.0
Final Results,NaN,64.29084968566895,143,0.03546627,0.0

AVERAGES,232899,61,,0.17733135
