Benchmark,latency-Q5,memory,ObIds,Completeness,Current Throughput
1,1493.7457627118645,39.74072289466858,59,0.184375,19.0
2,1535.0892857142858,47.76252587636312,117,0.18870968,19.0
3,1591.0819672131147,53.0491615931193,178,0.19347826,19.0
4,1599.4655172413793,58.72603448232015,236,0.19344263,18.688524590163933
5,1564.4262295081967,65.22154426574707,297,0.19539474,18.683333333333334
6,1568.6206896551723,69.99359480539958,355,0.19505495,19.0
7,1579.049180327869,76.43192076683044,416,0.19622642,18.683333333333334
8,1586.1612903225807,81.7363961537679,478,0.19752066,19.0
9,1642.1724137931035,87.35686723391215,536,0.19705883,18.683333333333334
10,1604.0819672131147,93.79991308848064,597,0.19768211,19.0
Final Results,1696.84,96.7683313369751,622,0.19777425,19.0

AVERAGES,1587,70,,0.98887125
