Benchmark,latency-Q10_8,memory,ObIds,Completeness,Current Throughput
1,1668.9273875295976,38.01871314415565,1032,1.0,64.0
2,1810.0700483091787,45.31079928080241,1988,0.997992,63.47540983606557
3,1760.0959031657355,52.67808532714844,2944,0.99728996,64.0
4,1730.2959662288931,59.98858833312988,3896,0.99591005,63.46666666666667
5,1823.1570378151262,71.40284474690755,4871,0.99836034,63.9344262295082
6,1785.6138554216868,77.63472175598145,5831,0.9986299,64.0
7,1774.4758467518045,85.24193127950032,6799,0.9988247,63.46666666666667
8,1796.700048146365,91.08756891886394,7759,0.99819887,64.0
9,1817.664116828929,97.3610159556071,8735,1.0,64.0
10,1727.6030534351146,103.94532076517741,9703,1.0,63.47540983606557
Final Results,1668.3024544734758,107.47516822814941,10087,0.9984163,64.0

AVERAGES,1760,75,,4.9920815
