Benchmark,latency-Q10_8,memory,ObIds,Completeness,Current Throughput
1,1818.0137812230835,42.044872577373795,1016,0.9844961,64.0
2,1833.6327272727274,48.64118226369222,1984,0.99598396,63.47540983606557
3,1846.5610619469026,54.57801151275635,2936,0.99458,63.46666666666667
4,1825.9397163120568,61.04612382253011,3904,0.997955,63.47540983606557
5,1880.6204933586337,68.32597827911377,4856,0.9967159,64.0
6,1799.80276816609,74.16071160634358,5820,0.9979424,63.46666666666667
7,1832.1942567567567,81.77016353607178,6779,0.998086,63.47540983606557
8,1859.0868217054262,90.4076566696167,7736,0.997936,63.46666666666667
9,1807.6353135313532,97.02817885080974,8703,0.99896693,63.47540983606557
10,1869.7495327102804,104.50980981190999,9664,0.99917287,63.46666666666667
Final Results,1836.1497975708503,107.75608539581299,10064,0.9992057,62.76923076923077

AVERAGES,1837,75,,4.9960284999999995
